Measurement,Cellonaut_32bits.tif
Cellonaut(Cellonaut mask_Class1) : Area (px²),61687.0
Cellonaut(Cellonaut mask_Class1) : Mean intensity (a.u.),254.25941175427144
Cellonaut(Cellonaut mask_Class1) : Raw integrated density (a.u. × px²),15684500.332885742
Cellonaut(Cellonaut mask_Class2) : Area (px²),88078.0
Cellonaut(Cellonaut mask_Class2) : Mean intensity (a.u.),169.76642984906388
Cellonaut(Cellonaut mask_Class2) : Raw integrated density (a.u. × px²),14952687.608245848
Cellonaut(Cellonaut mask_Class3) : Area (px²),112299.0
Cellonaut(Cellonaut mask_Class3) : Mean intensity (a.u.),0.0
Cellonaut(Cellonaut mask_Class3) : Raw integrated density (a.u. × px²),0.0
